업태구분명,소재지전체주소
호프/통닭,서울특별시 광진구 자양동 607-10 1층 
호프/통닭,서울특별시 광진구 화양동 1 건국대학교 
호프/통닭,서울특별시 광진구 자양동 845-12 
호프/통닭,서울특별시 광진구 중곡동 173-1번지 
호프/통닭,서울특별시 광진구 자양동 624-23 
호프/통닭,서울특별시 광진구 중곡동 563-11 1층 
호프/통닭,서울특별시 광진구 중곡동 39-38 1층 
호프/통닭,서울특별시 광진구 자양동 507-6 이튼타워리버2차 1층105호 
호프/통닭,서울특별시 광진구 군자동 467-3 
호프/통닭,서울특별시 광진구 화양동 113-1 광진 코지웰 1층 103호
호프/통닭,서울특별시 광진구 구의동 79-25 1층 
호프/통닭,서울특별시 광진구 중곡동 240-4번지 1층 
호프/통닭,서울특별시 광진구 구의동 668 래미안파크스위트 
호프/통닭,서울특별시 광진구 자양동 855번지 이튼타워리버3차 110호 
호프/통닭,서울특별시 광진구 중곡동 115-21 
호프/통닭,서울특별시 광진구 자양동 553-55번지 1층 
호프/통닭,서울특별시 광진구 구의동 254-114번지 송곡회관 
호프/통닭,서울특별시 광진구 자양동 652-11번지 
호프/통닭,서울특별시 광진구 화양동 18-2번지 
호프/통닭,서울특별시 광진구 구의동 228-1 1층 
호프/통닭,서울특별시 광진구 자양동 227-342 롯데백화점 
호프/통닭,서울특별시 광진구 자양동 852-2 1층2호 
호프/통닭,서울특별시 광진구 구의동 230-23 1층 
호프/통닭,서울특별시 광진구 자양동 10-19번지 창화빌딩 
호프/통닭,서울특별시 광진구 구의동 66-59 화우 
호프/통닭,서울특별시 광진구 중곡동 190-28번지 1층 
호프/통닭,서울특별시 광진구 구의동 248-11번지 
호프/통닭,서울특별시 광진구 자양동 617-1 
호프/통닭,서울특별시 광진구 화양동 18-26 1층 
호프/통닭,서울특별시 광진구 중곡동 241-5 
호프/통닭,서울특별시 광진구 군자동 48-14 이연재 
호프/통닭,서울특별시 광진구 자양동 553-187 
호프/통닭,서울특별시 광진구 구의동 668 래미안파크스위트 
호프/통닭,서울특별시 광진구 구의동 20-17 
호프/통닭,서울특별시 광진구 구의동 235-1 
호프/통닭,서울특별시 광진구 화양동 111-161 
호프/통닭,서울특별시 광진구 구의동 80-37 스타파크아파트 
호프/통닭,서울특별시 광진구 중곡동 99-9 박빌딩 
호프/통닭,서울특별시 광진구 군자동 48-49 비아트리체빌딩1층 
호프/통닭,서울특별시 광진구 화양동 111-204번지 
호프/통닭,서울특별시 광진구 중곡동 127-1 
호프/통닭,서울특별시 광진구 중곡동 89-10 평강빌딩 
호프/통닭,서울특별시 광진구 군자동 361-27 
호프/통닭,서울특별시 광진구 자양동 618-1 
호프/통닭,서울특별시 광진구 중곡동 241-33 
호프/통닭,서울특별시 광진구 자양동 608-30 
호프/통닭,서울특별시 광진구 자양동 862 자양하늘채 베르 
호프/통닭,서울특별시 광진구 화양동 8-24 
호프/통닭,서울특별시 광진구 화양동 9-46 1층 
호프/통닭,서울특별시 광진구 중곡동 165-18 1층 
호프/통닭,서울특별시 광진구 구의동 229-1 
호프/통닭,서울특별시 광진구 자양동 553-260 
호프/통닭,서울특별시 광진구 중곡동 115-4 
호프/통닭,서울특별시 광진구 화양동 11-7 
호프/통닭,서울특별시 광진구 화양동 5-29 (지하) 
호프/통닭,서울특별시 광진구 군자동 474-28 (1층) 
호프/통닭,서울특별시 광진구 자양동 46-11 (1층) 
호프/통닭,서울특별시 광진구 화양동 5-64 
호프/통닭,"서울특별시 광진구 화양동 9-90 (2층,3층) "
호프/통닭,서울특별시 광진구 화양동 7-1번지 
호프/통닭,서울특별시 광진구 광장동 320-15 
호프/통닭,서울특별시 광진구 중곡동 555-1 1층 
호프/통닭,서울특별시 광진구 중곡동 167-19 1층 
호프/통닭,서울특별시 광진구 중곡동 78-11 1층 
호프/통닭,서울특별시 광진구 자양동 650-5 1층 
호프/통닭,서울특별시 광진구 중곡동 115-6 1층 
통닭(치킨),서울특별시 광진구 자양동 679-35번지 1층 
통닭(치킨),서울특별시 광진구 구의동 199-20 1층 
호프/통닭,서울특별시 광진구 자양동 612-36번지 1층 
호프/통닭,서울특별시 광진구 군자동 476-7 
호프/통닭,서울특별시 광진구 자양동 605-30번지 1층 
호프/통닭,서울특별시 광진구 광장동 530-44 1층 
호프/통닭,서울특별시 광진구 광장동 577-0번지 광장현대파크빌 상가 1017동 107호 
호프/통닭,서울특별시 광진구 화양동 112-12번지 
호프/통닭,서울특별시 광진구 화양동 111-161 
호프/통닭,서울특별시 광진구 화양동 34-10번지 1층 
호프/통닭,서울특별시 광진구 능동 223-39 2층 201호
호프/통닭,서울특별시 광진구 화양동 48-25 1층 
호프/통닭,서울특별시 광진구 능동 222-9 웅래빌딩 
호프/통닭,서울특별시 광진구 화양동 48-25번지 2층 
호프/통닭,서울특별시 광진구 자양동 596-8 1층 
호프/통닭,서울특별시 광진구 자양동 623-29번지 1층 
호프/통닭,서울특별시 광진구 화양동 213 
호프/통닭,서울특별시 광진구 능동 223-2 (2층) 
호프/통닭,서울특별시 광진구 군자동 474-36 1층 
호프/통닭,서울특별시 광진구 화양동 18-2 1층 
호프/통닭,서울특별시 광진구 구의동 200-21 2층 
호프/통닭,서울특별시 광진구 중곡동 244-6 1층 
호프/통닭,서울특별시 광진구 중곡동 193-27 
통닭(치킨),서울특별시 광진구 자양동 74-14번지 1층 
호프/통닭,서울특별시 광진구 화양동 5-32번지 지하2층 
통닭(치킨),서울특별시 광진구 구의동 52-15번지 1층 
통닭(치킨),서울특별시 광진구 중곡동 229-7번지 
호프/통닭,서울특별시 광진구 구의동 246-91 1층 
호프/통닭,서울특별시 광진구 구의동 214-6 1층 
호프/통닭,서울특별시 광진구 자양동 851-19 2층 
호프/통닭,서울특별시 광진구 중곡동 220-78번지 1층 101호
호프/통닭,서울특별시 광진구 자양동 52-65번지 1층 
통닭(치킨),서울특별시 광진구 자양동 48-31번지 1층 
호프/통닭,서울특별시 광진구 자양동 608-18 1층 
호프/통닭,서울특별시 광진구 중곡동 115-3 1층 
호프/통닭,서울특별시 광진구 중곡동 220-27 1층 
호프/통닭,서울특별시 광진구 중곡동 98-23번지 1층 
호프/통닭,서울특별시 광진구 중곡동 649-9번지 1층 
통닭(치킨),서울특별시 광진구 구의동 201-21 1층 
