업태구분명,소재지전체주소
호프/통닭,서울특별시 종로구 낙원동 198 금강빌딩 
호프/통닭,서울특별시 종로구 명륜2가 184 
호프/통닭,서울특별시 종로구 명륜4가 11-2 
호프/통닭,서울특별시 종로구 종로3가 132-1 
호프/통닭,서울특별시 종로구 무악동 89 경희궁 롯데캐슬 
호프/통닭,서울특별시 종로구 묘동 175 이화빌딩 
통닭(치킨),서울특별시 종로구 인사동 208-0 
호프/통닭,서울특별시 종로구 관수동 120번지 
호프/통닭,서울특별시 종로구 관철동 6-6 
호프/통닭,서울특별시 종로구 숭인동 1368 숭인한성아펠시티 
호프/통닭,서울특별시 종로구 숭인동 201-4 
호프/통닭,서울특별시 종로구 관철동 13-9번지 
호프/통닭,서울특별시 종로구 관철동 19-6 
호프/통닭,서울특별시 종로구 동숭동 1-65번지 
호프/통닭,서울특별시 종로구 익선동 106-0번지 
호프/통닭,서울특별시 종로구 송월동 60-5번지 
호프/통닭,서울특별시 종로구 무악동 67-2번지 
호프/통닭,서울특별시 종로구 인사동 37번지 3층 
호프/통닭,서울특별시 종로구 혜화동 143-2번지 
호프/통닭,서울특별시 종로구 동숭동 1-35번지 지상4층 
호프/통닭,서울특별시 종로구 낙원동 227번지 
호프/통닭,서울특별시 종로구 돈의동 153번지 
통닭(치킨),서울특별시 종로구 체부동 39-2번지 지상1층 
호프/통닭,서울특별시 종로구 교북동 75번지 
호프/통닭,서울특별시 종로구 효제동 174-2 
통닭(치킨),서울특별시 종로구 명륜2가 21-18번지 지상1층 
호프/통닭,서울특별시 종로구 돈의동 107번지 (지상1층) 
호프/통닭,서울특별시 종로구 관철동 14-3번지 
호프/통닭,서울특별시 종로구 낙원동 159번지 지상1층 
호프/통닭,서울특별시 종로구 당주동 160-0 변호사회관 지하동 1-33호
호프/통닭,서울특별시 종로구 종로4가 59-2번지 
호프/통닭,서울특별시 종로구 관철동 43-7 지상2층 
호프/통닭,서울특별시 종로구 창신동 561-2번지 
호프/통닭,서울특별시 종로구 혜화동 167-3 
호프/통닭,서울특별시 종로구 관철동 18-9 
호프/통닭,서울특별시 종로구 숭인동 313-14번지 
호프/통닭,서울특별시 종로구 돈의동 51 
호프/통닭,서울특별시 종로구 신문로1가 156-0 
호프/통닭,서울특별시 종로구 혜화동 16-9 
호프/통닭,서울특별시 종로구 사직동 304-15 
호프/통닭,서울특별시 종로구 종로1가 24번지 르메이에르종로타운1 
호프/통닭,서울특별시 종로구 종로1가 24번지 르메이에르종로타운1 
호프/통닭,서울특별시 종로구 숭인동 218 
통닭(치킨),서울특별시 종로구 숭인동 76 롯데캐슬상가 116호
호프/통닭,서울특별시 종로구 명륜3가 148-1 지상1층 
호프/통닭,서울특별시 종로구 내자동 11-1번지 
호프/통닭,서울특별시 종로구 관철동 18-9번지 18-8 
호프/통닭,서울특별시 종로구 효제동 217-0번지 
통닭(치킨),서울특별시 종로구 창신동 464-6번지 2층 
호프/통닭,서울특별시 종로구 창신동 561-1 
